reviewer,comment_number,reviewer_request,implementation_requirement,analysis_requirement,manuscript_requirement,status,raw_evidence_path,summary_evidence_path,generated_table_or_figure,remaining_limitation,blocking_or_nonblocking
Reviewer 1,R1-1,Evidence qualification throughout outputs,Evidence types on every row,Claim and output validation,Use qualified evidence terminology,PASS,results/reviewer_revision/validation/validation_report.json,results/reviewer_revision/validation/claim_registry.yaml,,Evidence types and claim boundaries are machine-validated.,blocking
Reviewer 1,R1-2,Explain block-period and uniform latency,Capture block and receipt metadata,Block-period sensitivity,Explain submission-to-receipt timing,PASS,results/reviewer_revision/raw/block_period/,results/reviewer_revision/statistics/block_period_sensitivity_summary.csv,,Local 1/2/4-second sensitivity only.,blocking
Reviewer 1,R1-3,Adequate repetitions and statistics,Repeat Besu operations,Predefined robust statistics,Report sample and dispersion,PASS,results/reviewer_revision/raw/besu_v2_final/,results/reviewer_revision/statistics/besu_v2_final_timing_summary.csv,,Fifty complete seven-operation repetitions against the final V2 ABI; local environment only.,blocking
Reviewer 1,R1-4,Representative persistent centralized baseline,Semantic-equivalent persistent baseline,Matched-operation comparison,Describe local persistent baseline,PASS,results/reviewer_revision/raw/baseline/,results/reviewer_revision/validation/baseline_equivalence_matrix.csv,,The baseline does not provide consensus or replicated tamper evidence.,blocking
Reviewer 1,R1-5,Batch-size and accountability sensitivity,Execute naive and Merkle paths,Gas/transaction/storage sensitivity,Separate measured and analytical results,PASS,results/reviewer_revision/raw/accountability/,results/reviewer_revision/csv/accountability_path_statistics.csv,,"Per-device, V1 integrity-only, and V2 witnessed paths are measured; fleet/batch scaling remains analytical.",blocking
Reviewer 1,R1-6,Separate evidence classes,Explicit evidence_type schema,Validate evidence provenance,Qualify execution/emulation/scenario/analytical,PASS,results/reviewer_revision/raw/,results/reviewer_revision/validation/validation_report.json,,Evidence classes are explicit in reviewer-revision artifacts.,blocking
Reviewer 1,R1-7,Comparative novelty table support,No code requirement,Verify literature cells,Place evidence-backed comparison table,PARTIAL,,,paper_assets/reviewer_revision/tables/comparative_novelty.tex,Primary literature cells require manual verification.,nonblocking
Reviewer 1,R1-8,Gas-cost analysis,Capture deployment and operation gas,Gas distributions and assumptions,Report gas without undeclared currency conversion,PASS,results/reviewer_revision/raw/besu_v2_final/deployment_receipts.json,results/reviewer_revision/statistics/gas_summary_final.csv,,Eight deployments and eleven operation types are reported; gas price was zero and no currency conversion was performed.,blocking
Reviewer 1,R1-9,Fuzz invariant coverage and static analysis,Add real fuzz/invariant suites,Coverage and static-tool results,Bound security claims to tested properties,PASS,results/reviewer_revision/raw/security/,results/reviewer_revision/validation/slither_status.json,,Mythril was not run; Slither findings are triaged rather than suppressed.,blocking
Reviewer 1,R1-10,Collusion key validator and quorum assumptions,Implement V2 trust boundaries,Map tested versus assumed threats,Expand threat model and limitations,PASS,results/reviewer_revision/raw/validator_faults/,results/reviewer_revision/validation/validator_fault_status.json,,Crash faults were executed; Byzantine validator and aggregator/witness collusion remain outside tested guarantees.,blocking
Reviewer 1,R1-M1,Abstract qualifiers,No code requirement,Claim registry validation,Qualify all abstract claims,PARTIAL,,results/reviewer_revision/validation/claim_registry.yaml,,Final abstract text and page/line placement require the revision manuscript.,blocking
Reviewer 1,R1-M2,Comparison table placement,No code requirement,Validate table sources,Place table where reviewer requested,PARTIAL,,,paper_assets/reviewer_revision/reviewer_evidence/manuscript_change_map.md,Comparison placement requires the revision manuscript and verified literature table.,nonblocking
Reviewer 1,R1-M3,Uniform Table 1 evidence terminology,Evidence labels in table generator,Terminology consistency check,Use one evidence taxonomy,PARTIAL,,results/reviewer_revision/validation/claim_registry.yaml,paper_assets/reviewer_revision/tables/,Reviewer-revision tables still require final manuscript integration.,blocking
Reviewer 1,R1-M4,Validator configuration disclosure,Record topology config,Validate environment metadata,Disclose local four-validator topology,PASS,results/reviewer_revision/raw/besu_v2_final/deployment.json,results/reviewer_revision/validation/block_period_status.json,,Topology is a local four-validator configuration.,blocking
Reviewer 1,R1-M5,Timing dispersion,Preserve repeated observations,Calculate dispersion and confidence intervals,Report count and dispersion,PASS,results/reviewer_revision/csv/besu_v2_final_timing_complete.csv,results/reviewer_revision/statistics/besu_v2_final_timing_summary.csv,,Dispersion and bootstrap intervals are reported over fifty complete paths.,blocking
Reviewer 1,R1-M6,Fleet-seed dispersion,Execute fixed multi-seed fleet runs,Calculate configuration-level dispersion,Do not infer unsupported monotonic trend,PASS,results/reviewer_revision/raw/fleet/,results/reviewer_revision/statistics/fleet_multiseed_summary.csv,,No unsupported monotonic fleet-size trend is inferred.,blocking
Reviewer 1,R1-M7,Expand or narrow adversarial validation,Execute supported threat cases,Case-specific pass/fail accounting,Limit claims to executed cases,PARTIAL,results/reviewer_revision/raw/concurrency/,results/reviewer_revision/validation/concurrency_status.json,,Five race families were executed through parallel RPC; additional listed endorsement-order permutations remain property-test evidence or not run.,blocking
Reviewer 1,R1-M8,Early limitations disclosure,No code requirement,Claim/limitation mapping,Move key limitations earlier,PARTIAL,,results/reviewer_revision/validation/claim_registry.yaml,,Final limitations placement requires the revision manuscript.,nonblocking
Reviewer 1,R1-M9,Bounded conclusion wording,Claim registry gate,Validate supported conclusion claims,Use local PoC scope,PARTIAL,,results/reviewer_revision/validation/claim_registry.yaml,,Final conclusion text requires the revision manuscript.,blocking
